time,open,high,low,close,volume,symbol
2025-08-21,64.95,65.42,64.01,65.23,1062477,GAS
2025-08-22,64.95,65.04,64.01,64.01,1197617,GAS
2025-08-25,64.86,65.51,64.48,64.67,968482,GAS
2025-08-26,64.76,65.42,64.67,65.42,779131,GAS
2025-08-27,65.61,65.61,64.67,64.86,1393145,GAS
2025-08-28,65.5,65.5,64.7,64.9,771485,GAS
2025-08-29,65.0,65.0,63.8,63.8,1479957,GAS
2025-09-03,64.2,64.4,63.4,63.8,897084,GAS
2025-09-04,63.9,64.2,63.8,64.2,721211,GAS
2025-09-05,64.9,65.2,63.6,63.8,1221479,GAS
2025-09-08,63.8,64.2,62.6,62.6,1298636,GAS
2025-09-09,63.0,63.1,61.6,62.1,1262474,GAS
2025-09-10,62.1,62.5,61.7,61.9,759169,GAS
2025-09-11,62.4,62.6,61.3,62.0,812672,GAS
2025-09-12,62.3,62.9,61.7,62.5,556100,GAS
2025-09-15,62.6,63.3,62.6,63.2,651000,GAS
2025-09-16,63.6,63.6,62.7,62.7,773700,GAS
2025-09-17,62.8,64.3,62.8,64.0,1489100,GAS
2025-09-18,64.0,64.1,62.9,63.0,731300,GAS
2025-09-19,63.3,63.3,62.5,62.5,658200,GAS
2025-09-22,62.4,62.5,61.2,61.8,883600,GAS
2025-09-23,61.9,62.0,61.2,61.6,544500,GAS
2025-09-24,61.6,61.7,61.1,61.6,558200,GAS
2025-09-25,62.0,62.3,61.8,61.9,550000,GAS
2025-09-26,62.3,62.4,61.5,61.5,265100,GAS
2025-09-29,61.6,62.0,61.4,61.5,381300,GAS
2025-09-30,61.5,61.7,60.4,60.4,647500,GAS
2025-10-01,60.5,60.9,60.5,60.6,211700,GAS
2025-10-02,60.7,61.0,60.3,60.3,454300,GAS
2025-10-03,60.2,60.5,60.0,60.1,470400,GAS
2025-10-06,61.1,61.1,60.2,60.8,420400,GAS
2025-10-07,61.1,61.1,60.6,60.9,302600,GAS
2025-10-08,61.2,61.6,60.9,60.9,379300,GAS
2025-10-09,60.9,61.4,60.6,60.9,363100,GAS
2025-10-10,60.9,61.2,60.6,60.9,592500,GAS
2025-10-13,60.1,60.9,60.1,60.6,516900,GAS
2025-10-14,60.9,60.9,60.0,60.0,568000,GAS
2025-10-15,60.0,60.2,58.8,59.0,1271300,GAS
2025-10-16,58.8,59.2,58.5,58.7,956300,GAS
2025-10-17,58.7,59.2,58.5,58.6,320000,GAS
2025-10-20,58.6,59.5,57.0,57.0,604700,GAS
2025-10-21,57.3,58.8,56.0,56.0,837900,GAS
2025-10-22,57.2,59.0,57.2,59.0,1023700,GAS
2025-10-23,60.0,60.7,59.5,59.8,554800,GAS
2025-10-24,60.4,60.8,59.6,59.6,643300,GAS
2025-10-27,60.2,60.2,59.3,59.3,512900,GAS
2025-10-28,59.3,60.2,59.1,60.0,660100,GAS
2025-10-29,60.1,61.2,60.0,60.2,639500,GAS
2025-10-30,60.2,60.8,59.7,59.7,460400,GAS
2025-10-31,59.8,62.3,59.8,61.6,1173700,GAS
